name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Kevin Santamaría,K. Santamaría,M,10,57.157142857143,82.371428571429,7
Matias Sen,M. Sen,F,9,56.092,44.052,25
Piero Magallanes,P. Magallanes,M,23,49.664516129032,58.08064516129,31
Matias Almiron,M. Almiron,D,22,22.012195121951,67.646341463415,41
Diego Campos,D. Campos,G,21,5.5333333333333,50.820512820513,39
Richar Bazán,R. Bazán,F,30,57.108695652174,75.069565217391,23
Keyvin Paico,K. Paico,M,6,40.443902439024,62.287804878049,41
Kenji Barrios,K. Barrios,F,27,56.32,17.62,10
Jorge Toledo,J. Toledo,D,26,36.11186440678,12.976271186441,59
Edgar Lastre,E. Lastre,D,7,54.530769230769,22.734615384615,26
Enzo Borletti,E. Borletti,M,5,36.282352941176,60.4,17
Dylan Caro,D. Caro,D,13,30.83,80.85,20
Erick Noriega,E. Noriega,D,4,39.8,51.361728395062,81
Duván Palacios,D. Palacios,M,14,43.252380952381,82.396825396825,63
Cristian González,C. González,D,2,22.866666666667,34.916666666667,60
Rodrigo Salinas,R. Salinas,M,8,53.214285714286,25.257142857143,7
