name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Jhamir D´Arrigo,J. D´Arrigo,M,11,35.115151515152,85.193939393939,33
Hernán Barcos,H. Barcos,F,9,48.288888888889,48.77037037037,27
Renzo Garces,R. Garces,D,6,22.503333333333,41.753333333333,30
Gabriel Costa,G. Costa,M,8,49.646153846154,37.661538461538,13
Cecilio Waterman,C. Waterman,F,30,66.1875,38.990625,32
Kevin Serna,K. Serna,M,26,58.143902439024,23.280487804878,41
Jiovany Ramos,J. Ramos,D,29,35.908888888889,20.42,45
Sebastián Rodríguez,S. Rodríguez,M,10,50.071739130435,49.186956521739,46
Ángel De la Cruz,Á. D. l. Cruz,G,12,10.653488372093,48.206976744186,43
Franco Saravia,F. Saravia,G,32,10.965,47.04,20
Adrián Arregui,A. Arregui,M,5,53.788,49.93,50
Jesús Castillo,J. Castillo,M,15,35.242857142857,77.433333333333,21
Franco Zanelatto,F. Zanelatto,M,7,68.977777777778,79.444444444444,9
Víctor Guzmán,V. Guzmán,F,22,60.1,16.9,1
Juan Freytes,J. Freytes,D,2,39.044827586207,83.793103448276,58
