name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Hernán Pérez,Hernán Pérez,M,10,59.941666666667,24.470833333333,24
Gino Guerrero,G. Guerrero,M,11,75.028571428571,88.314285714286,7
Ignacio Barrios,I. Barrios,G,1,9.0153846153846,48.092307692308,26
Donald Millán,D. Millán,M,25,51.8,52.6,30
Kelvin Sánchez,K. Sánchez,M,5,42.544444444444,52.627777777778,36
Marlon de Jesús,M. d. Jesús,F,9,67.87380952381,44.340476190476,42
Luis Trujillo,L. Trujillo,D,27,45.445,83.5275,40
Carlos Uribe,C. Uribe,M,19,51.984090909091,48.063636363636,44
Osama Vinladen,O. Vinladen,M,15,56.893103448276,51.648275862069,29
Victor Labrin,V. Labrin,M,28,54.2,50.6,2
Carlos Ramirez,C. Ramirez,D,20,31.721818181818,62.012727272727,55
Italo Regalado,I. Regalado,F,14,46.7125,49.2875,8
Byron Angulo,B. Angulo,M,13,57.546774193548,64.914516129032,62
Piero Serra,P. Serra,D,31,34.922972972973,37.686486486486,74
Teodoro Paredes,T. Paredes,D,3,23.723913043478,43.763043478261,46
Denilson Vargas,D. Vargas,D,17,48.302325581395,23.053488372093,43
