name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Juan Freytes,J. Freytes,D,2,37.944871794872,83.803846153846,78
Catriel Cabellos,C. Cabellos,M,27,59.318,39.744,50
Aldair Fuentes,A. Fuentes,M,20,33.769444444444,50.905555555556,36
Gabriel Costa,G. Costa,M,8,59.5,50.822222222222,9
Franco Saravia,F. Saravia,G,32,9.2457142857143,47.634285714286,35
Jhamir D´Arrigo,J. D´Arrigo,M,11,60.972727272727,84.918181818182,22
Ricardo Lagos,R. Lagos,D,13,46.222580645161,67.625806451613,31
Axel Moyano,A. Moyano,M,14,53.507142857143,49.757142857143,14
Sebastián Rodríguez,S. Rodríguez,M,10,47.411827956989,55.117204301075,93
Renzo Garces,R. Garces,D,6,32.011111111111,44.605555555556,18
Cecilio Waterman,C. Waterman,F,30,66.421428571429,48.564285714286,14
Jesús Castillo,J. Castillo,M,15,49.431578947368,74.386842105263,38
Jiovany Ramos,J. Ramos,D,29,38.664,21.922666666667,75
Hernán Barcos,H. Barcos,F,9,59.509803921569,52.986274509804,51
Kevin Serna,K. Serna,M,26,66.830357142857,16.975,56
