Estadistica,Acertados,Intentados
Expected goals,0.39,
Ball possession,40.0,
Total shots,3.0,
Shots on target,1.0,
Shots off target,2.0,
Blocked shots,0.0,
Corner kicks,2.0,
Offsides,0.0,
Fouls,12.0,
Yellow cards,0.0,
Red cards,1.0,
Free kicks,11.0,
Throw-ins,11.0,
Goal kicks,7.0,
Big chances,0.0,
Big chances missed,0.0,
Hit woodwork,1.0,
Shots inside box,2.0,
Shots outside box,1.0,
Goalkeeper saves,2.0,
Passes,244.0,
Accurate passes,166.0,
Long balls,18.0,54.0
Crosses,1.0,13.0
Dribbles,1.0,4.0
Possession lost,116.0,
Duels won,41.0,
Aerials won,10.0,
Tackles,20.0,
Interceptions,12.0,
Clearances,20.0,
