Estadistica,Acertados,Intentados
Expected goals,1.82,
Ball possession,42.0,
Total shots,15.0,
Shots on target,5.0,
Shots off target,7.0,
Blocked shots,3.0,
Corner kicks,5.0,
Offsides,1.0,
Fouls,11.0,
Yellow cards,4.0,
Free kicks,10.0,
Throw-ins,21.0,
Goal kicks,11.0,
Big chances,2.0,
Big chances missed,0.0,
Counter attacks,1.0,
Counter attack shots,1.0,
Shots inside box,10.0,
Shots outside box,5.0,
Goalkeeper saves,4.0,
Passes,295.0,
Accurate passes,207.0,
Long balls,27.0,69.0
Crosses,4.0,10.0
Dribbles,5.0,19.0
Possession lost,142.0,
Duels won,41.0,
Aerials won,10.0,
Tackles,17.0,
Interceptions,8.0,
Clearances,26.0,
