name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
José De la Cruz,J. D. l. Cruz,F,19,32.55,38.55,2
Federico Illanes,F. Illanes,M,8,44.622641509434,49.739622641509,53
José Villegas,J. Villegas,D,4,25.73,39.6175,40
Aldair Perleche,A. Perleche,D,30,46.1,13.772222222222,36
Roberto Siucho,R. Siucho,M,23,44.525,66.38125,16
Adrián Fernández,A. Fernández,F,9,51.368571428571,47.628571428571,35
Jeremy Canela,J. Canela,M,20,53.275675675676,32.135135135135,37
Jesus Mendieta,J. Mendieta,D,15,43.917647058824,82.573529411765,34
Stefano Fernández,S. Fernández,M,16,43.675757575758,50.681818181818,33
Christian Vasquez,C. Vasquez,D,3,45.057142857143,22.228571428571,14
Rodrigo Castro,R. Castro,M,7,62.482857142857,55.757142857143,35
Horacio Benincasa,H. Benincasa,D,13,29.876086956522,70.247826086957,46
Hideyoshi Arakaki,H. Arakaki,F,17,59.758333333333,49.275,12
Eric Tovo,E. Tovo,D,2,36.129268292683,25.143902439024,41
Alessandro Milesi,A. Milesi,D,21,33.99375,83.8625,16
Diego Melián,D. Melián,G,1,9.9121951219512,51.492682926829,41
