name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Catriel Cabellos,C. Cabellos,M,27,61.705,31.845,20
Víctor Guzmán,V. Guzmán,F,22,56.366666666667,35.758333333333,12
Cecilio Waterman,C. Waterman,F,30,66.880555555556,46.955555555556,36
Renzo Garces,R. Garces,D,6,32.437931034483,38.087931034483,58
Kevin Serna,K. Serna,M,26,71.260869565217,18.045652173913,46
Ricardo Lagos,R. Lagos,D,13,60.876744186047,87.841860465116,43
Jhamir D´Arrigo,J. D´Arrigo,M,11,49.542857142857,82.814285714286,21
Franco Zanelatto,F. Zanelatto,M,7,78.225,57.775,4
Franco Saravia,F. Saravia,G,32,12.390909090909,46.872727272727,33
Axel Moyano,A. Moyano,M,14,56.35,77.616666666667,6
Adrián Arregui,A. Arregui,M,5,53.092405063291,47.489873417722,79
Hernán Barcos,H. Barcos,F,9,70.254166666667,45.183333333333,24
Jiovany Ramos,J. Ramos,D,29,45.948387096774,18.338709677419,62
Gabriel Costa,G. Costa,M,8,61.892647058824,48.088235294118,68
Juan Freytes,J. Freytes,D,2,42.489247311828,76.0,93
Sebastián Rodríguez,S. Rodríguez,M,10,50.331868131868,52.940659340659,91
