name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Jesús Castillo,J. Castillo,M,15,57.125531914894,57.110638297872,47
Gabriel Costa,G. Costa,M,8,62.237037037037,48.033333333333,27
Franco Saravia,F. Saravia,G,32,10.578947368421,49.7,19
Jiovany Ramos,J. Ramos,D,29,41.741975308642,17.044444444444,81
Franco Zanelatto,F. Zanelatto,M,7,73.035714285714,15.542857142857,14
Carlos Zambrano,C. Zambrano,D,5,34.1359375,42.4859375,64
Cecilio Waterman,C. Waterman,F,30,66.75,49.1,34
Juan Freytes,J. Freytes,D,2,68.067123287671,82.598630136986,73
Jeriel De Santis,J. D. Santis,F,18,66.0,87.5,6
Sebastián Rodríguez,S. Rodríguez,M,10,53.637,51.187,100
Christian Neira,C. Neira,M,17,60.68,47.534,50
Kevin Serna,K. Serna,M,26,65.120547945205,14.87397260274,73
Renzo Garces,R. Garces,D,6,36.098076923077,71.669230769231,52
Catriel Cabellos,C. Cabellos,M,27,67.414893617021,37.172340425532,47
