name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Franco Zanelatto,F. Zanelatto,M,7,86.433333333333,79.666666666667,3
Ricardo Lagos,R. Lagos,D,13,57.991836734694,81.477551020408,49
Ángel De la Cruz,Á. D. l. Cruz,G,12,8.9217391304348,51.747826086957,46
Jesús Castillo,J. Castillo,M,15,51.546153846154,39.507692307692,13
Catriel Cabellos,C. Cabellos,M,27,45.54358974359,19.328205128205,39
Juan Freytes,J. Freytes,D,2,39.205172413793,64.524137931035,58
Aldair Fuentes,A. Fuentes,M,20,29.65,88.65,2
Axel Moyano,A. Moyano,M,14,40.95,11.7,2
Sebastián Rodríguez,S. Rodríguez,M,10,53.075438596491,56.849122807018,57
Hernán Barcos,H. Barcos,F,9,67.380952380952,56.897619047619,42
Cecilio Waterman,C. Waterman,F,30,63.102380952381,65.888095238095,42
Kevin Serna,K. Serna,M,26,53.357407407407,22.82037037037,54
Renzo Garces,R. Garces,D,6,36.567123287671,39.243835616438,73
Adrián Arregui,A. Arregui,M,5,46.267741935484,37.751612903226,62
Gabriel Costa,G. Costa,M,8,60.310769230769,46.178461538462,65
