Estadistica,Acertados,Intentados
Expected goals,0.09,
Ball possession,39.0,
Total shots,1.0,
Shots on target,0.0,
Shots off target,1.0,
Blocked shots,0.0,
Corner kicks,0.0,
Offsides,0.0,
Fouls,11.0,
Free kicks,6.0,
Throw-ins,16.0,
Goal kicks,16.0,
Big chances,0.0,
Big chances missed,0.0,
Hit woodwork,0.0,
Shots inside box,1.0,
Shots outside box,0.0,
Goalkeeper saves,4.0,
Passes,266.0,
Accurate passes,197.0,
Long balls,27.0,66.0
Crosses,1.0,10.0
Dribbles,7.0,15.0
Possession lost,110.0,
Duels won,35.0,
Aerials won,7.0,
Tackles,15.0,
Interceptions,2.0,
Clearances,28.0,
