name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Jesús Castillo,J. Castillo,M,15,34.1125,60.9875,8
Renzo Garces,R. Garces,D,6,25.6,34.0,1
Franco Zanelatto,F. Zanelatto,M,7,50.813333333333,78.486666666667,15
Cecilio Waterman,C. Waterman,F,30,65.15,46.679166666667,24
Adrián Arregui,A. Arregui,M,5,56.614,44.452,50
Aldair Fuentes,A. Fuentes,M,20,29.572307692308,50.038461538462,65
Ricardo Lagos,R. Lagos,D,13,56.797368421053,74.628947368421,38
Franco Saravia,F. Saravia,G,32,9.0769230769231,52.526923076923,26
Sebastián Rodríguez,S. Rodríguez,M,10,55.158974358974,55.205128205128,39
Juan Freytes,J. Freytes,D,2,40.714754098361,79.309836065574,61
Hernán Barcos,H. Barcos,F,9,60.519298245614,52.252631578947,57
Catriel Cabellos,C. Cabellos,M,27,56.513846153846,33.42,65
Kevin Serna,K. Serna,M,26,62.655714285714,16.274285714286,70
Jiovany Ramos,J. Ramos,D,29,34.269318181818,15.393181818182,88
