Estadistica,Acertados,Intentados
Expected goals,0.98,
Ball possession,46.0,
Total shots,9.0,
Shots on target,4.0,
Shots off target,1.0,
Blocked shots,4.0,
Corner kicks,5.0,
Offsides,3.0,
Fouls,13.0,
Yellow cards,4.0,
Red cards,1.0,
Free kicks,8.0,
Throw-ins,14.0,
Goal kicks,5.0,
Big chances,1.0,
Big chances missed,0.0,
Counter attacks,0.0,
Counter attack shots,0.0,
Shots inside box,3.0,
Shots outside box,6.0,
Goalkeeper saves,3.0,
Passes,296.0,
Accurate passes,234.0,
Long balls,36.0,64.0
Crosses,5.0,20.0
Dribbles,6.0,8.0
Possession lost,113.0,
Duels won,35.0,
Aerials won,10.0,
Tackles,11.0,
Interceptions,13.0,
Clearances,16.0,
