name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Juan González Peña,J. G. Peña,M,14,65.690909090909,87.495454545455,22
Pedro Diaz,P. Diaz,G,21,8.345,49.7525,40
Janio Pósito,J. Pósito,F,89,67.734482758621,57.889655172414,29
Angel Quiñonez,A. Quiñonez,F,11,70.978260869565,23.895652173913,23
Fernando Bersano,F. Bersano,D,26,62.510810810811,85.432432432432,37
Alex Rambal,A. Rambal,D,24,37.735714285714,77.578571428571,14
Joao Rojas,J. Rojas,M,12,69.658823529412,51.305882352941,17
Edson Aubert,E. Aubert,M,7,49.208235294118,66.172941176471,85
Gu Choi,G. Choi,D,16,30.8,44.976388888889,72
Beto Da Silva,B. D. Silva,M,20,57.2,38.942857142857,7
Hernán Rengifo,H. Rengifo,F,9,67.466666666667,80.2,3
Víctor Cedrón,V. Cedrón,M,10,64.197959183673,40.822448979592,49
Luis Pérez,L. Pérez,M,6,48.901219512195,32.190243902439,82
César Inga,C. Inga,D,3,40.148214285714,79.082142857143,56
Yimy Gamero,Y. Gamero,M,54,63.64696969697,13.862121212121,66
John Narváez,J. Narváez,D,23,41.14387755102,20.178571428571,98
