Estadistica,Acertados,Intentados
Expected goals,1.6,
Ball possession,58.0,
Total shots,11.0,
Shots on target,5.0,
Shots off target,5.0,
Blocked shots,1.0,
Corner kicks,3.0,
Offsides,1.0,
Fouls,12.0,
Yellow cards,2.0,
Red cards,0.0,
Free kicks,10.0,
Throw-ins,21.0,
Goal kicks,14.0,
Big chances,3.0,
Big chances missed,2.0,
Shots inside box,7.0,
Shots outside box,4.0,
Goalkeeper saves,4.0,
Passes,356.0,
Accurate passes,293.0,
Long balls,41.0,70.0
Crosses,3.0,12.0
Dribbles,7.0,12.0
Possession lost,99.0,
Duels won,43.0,
Aerials won,17.0,
Tackles,9.0,
Interceptions,5.0,
Clearances,18.0,
