Estadistica,Acertados,Intentados
Expected goals,1.01,
Ball possession,39.0,
Total shots,12.0,
Shots on target,5.0,
Shots off target,7.0,
Blocked shots,0.0,
Corner kicks,0.0,
Offsides,0.0,
Fouls,14.0,
Yellow cards,6.0,
Red cards,0.0,
Free kicks,15.0,
Throw-ins,9.0,
Goal kicks,13.0,
Big chances,0.0,
Big chances missed,0.0,
Hit woodwork,0.0,
Shots inside box,7.0,
Shots outside box,5.0,
Goalkeeper saves,5.0,
Passes,260.0,
Accurate passes,188.0,
Long balls,31.0,70.0
Crosses,2.0,5.0
Dribbles,6.0,13.0
Possession lost,105.0,
Duels won,59.0,
Aerials won,21.0,
Tackles,18.0,
Interceptions,9.0,
Clearances,31.0,
