name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Osnar Noronha,O. Noronha,F,20,72.43125,45.8875,16
Óscar Barreto,Ó. Barreto,M,7,56.973333333333,55.183333333333,30
Alejandro Ramirez,A. Ramirez,M,27,55.704761904762,80.247619047619,21
Juan Quiñones,J. Quiñones,D,2,62.326086956522,93.204347826087,23
Carlos Cabello,C. Cabello,D,14,57.446511627907,14.811627906977,43
Nilson Loyola,N. Loyola,D,29,44.465789473684,89.492105263158,38
Pierre Da Silva,P. D. Silva,M,23,52.214285714286,18.664285714286,14
José Carvallo,J. Carvallo,G,21,9.1578947368421,51.280701754386,57
Alec Deneumostier,A. Deneumostier,D,5,33.6875,64.481944444444,72
Yorleys Mena,Y Mena,F,17,61.643137254902,52.46862745098,51
Johan Madrid,J. Madrid,D,32,41.682142857143,37.489285714286,56
Gerson Barreto,G. Barreto,M,13,61.365306122449,41.479591836735,49
Josepmir Ballón,J. Ballón,M,88,43.201333333333,51.764,75
Carlos Ascues,C. Ascues,D,19,34.425609756098,36.025609756098,82
Frank Ysique,F. Ysique,M,8,51.80487804878,59.058536585366,82
Geisson Perea,G. Perea,D,6,39.797058823529,76.455882352941,68
