Estadistica,Completado,Intentado
Expected goals,2.55,-
Ball possession,39.0,-
Total shots,21.0,-
Shots on target,8.0,-
Shots off target,9.0,-
Blocked shots,4.0,-
Corner kicks,7.0,-
Offsides,1.0,-
Fouls,8.0,-
Yellow cards,1.0,-
Red cards,1.0,-
Free kicks,5.0,-
Throw-ins,28.0,-
Goal kicks,2.0,-
Big chances,2.0,-
Big chances missed,2.0,-
Hit woodwork,1.0,-
Counter attacks,3.0,-
Counter attack shots,3.0,-
Shots inside box,15.0,-
Shots outside box,6.0,-
Goalkeeper saves,0.0,-
Passes,298.0,-
Accurate passes,206.0,-
Long balls,18.0,40.0
Crosses,6.0,18.0
Dribbles,3.0,6.0
Possession lost,147.0,-
Duels won,43.0,-
Aerials won,10.0,-
Tackles,25.0,-
Interceptions,11.0,-
Clearances,21.0,-
