name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Diego Dorregaray,D. Dorregaray,F,35,53.035135135135,51.621621621622,37
Edison Flores,E. Flores,M,19,64.676923076923,36.248717948718,39
Sebastián Britos,S. Britos,G,1,7.702380952381,47.035714285714,42
Aldo Corzo,A. Corzo,D,29,32.372727272727,26.922727272727,44
Martín Pérez Guedes,M. P. Guedes,M,16,53.826315789474,18.307894736842,38
Yuriel Celi,Y. Celi,M,7,73.65,39.075,4
Williams Riveros,W. Riveros,D,3,31.125531914894,47.631914893617,47
Christofer Gonzáles,C. Gonzales,M,8,48.065384615385,63.326923076923,26
Segundo Portocarrero,S. Portocarrero,D,34,43.56875,82.21875,16
Matías Di Benedetto,M. D. Benedetto,D,5,32.734,74.79,50
Horacio Calcaterra,H. Calcaterra,M,10,53.646666666667,63.96,15
Jairo Concha,J. Concha,M,17,52.592,30.492,25
Nelson Cabanillas,N. Cabanillas,M,27,44.684210526316,78.657894736842,19
José Rivera,J. Rivera,F,11,68.033333333333,34.2,9
Jorge Murrugarra,J. Murrugarra,M,23,39.745454545455,40.7,55
Andy Polo,A. Polo,M,24,43.74696969697,17.571212121212,66
