Estadistica,Acertados,Intentados
Expected goals,1.35,
Ball possession,42.0,
Total shots,12.0,
Shots on target,4.0,
Shots off target,6.0,
Blocked shots,2.0,
Corner kicks,1.0,
Offsides,0.0,
Fouls,11.0,
Yellow cards,3.0,
Red cards,1.0,
Free kicks,11.0,
Throw-ins,21.0,
Goal kicks,13.0,
Big chances,1.0,
Big chances missed,0.0,
Shots inside box,7.0,
Shots outside box,5.0,
Goalkeeper saves,3.0,
Passes,261.0,
Accurate passes,196.0,
Long balls,19.0,53.0
Crosses,1.0,10.0
Dribbles,7.0,13.0
Possession lost,105.0,
Duels won,40.0,
Aerials won,10.0,
Tackles,13.0,
Interceptions,9.0,
Clearances,14.0,
