Estadistica,Acertados,Intentados
Expected goals,1.3,
Ball possession,60.0,
Total shots,8.0,
Shots on target,4.0,
Shots off target,4.0,
Blocked shots,0.0,
Corner kicks,2.0,
Offsides,2.0,
Fouls,12.0,
Yellow cards,3.0,
Red cards,0.0,
Free kicks,12.0,
Throw-ins,28.0,
Goal kicks,5.0,
Big chances,4.0,
Big chances missed,2.0,
Hit woodwork,0.0,
Shots inside box,5.0,
Shots outside box,3.0,
Goalkeeper saves,1.0,
Passes,376.0,
Accurate passes,284.0,
Long balls,31.0,60.0
Crosses,3.0,12.0
Dribbles,5.0,7.0
Possession lost,141.0,
Duels won,43.0,
Aerials won,16.0,
Tackles,10.0,
Interceptions,3.0,
Clearances,13.0,
